,igdb_game_string,igdb_series
394,castlevania-lords-of-shadow,yes
395,finding-nemo,yes
396,one-piece-pirate-warriors-2,yes
397,keystone-kapers,no
398,fist-of-the-north-star-kens-rage,no
399,shrek-hassle-at-the-castle,no
400,toy-story-3-the-video-game,yes
401,gods-eater-burst,no
402,transformers-the-game,yes
403,kung-fu-master,yes
404,lego-dimensions,yes
405,harry-potter-and-the-half-blood-prince,yes
406,batman-return-to-arkham,yes
407,sengoku-basara-samurai-heroes,yes
408,real-heroes-firefighter,no
409,x2-wolverines-revenge,no
410,dead-island-riptide,yes
411,onimusha-dawn-of-dreams,yes
412,crash-of-the-titans,yes
413,nightmare-creatures,yes
414,lego-star-wars-ii-the-original-trilogy,yes
415,iron-man,yes
416,the-lord-of-the-rings-conquest,yes
417,lego-the-incredibles,no
418,lego-pirates-of-the-caribbean-the-video-game,yes
419,x-man,no
420,transformers-revenge-of-the-fallen,yes
421,ghostbusters-the-video-game,yes
422,metal-gear-solid-2-substance,yes
423,warriors-orochi-3,yes
424,disney-universe,yes
425,viewtiful-joe,yes
426,halloween,no
427,prince-of-persia-the-forgotten-sands,yes
428,harry-potter-and-the-half-blood-prince,yes
429,samurai-warriors-2,yes
430,tomb-raider-chronicles,yes
431,dragon-ball-z-buus-fury,yes
432,james-camerons-avatar-the-game,no
433,spider-man-mysterios-menace,no
434,ben-10-alien-force,yes
435,jaws-unleashed,yes
436,international-superstar-soccer-98,yes
437,transformers-the-game,yes
438,transformers-war-for-cybertron,yes
439,smurf-rescue-in-gargamels-castle,yes
440,assassins-creed-brotherhood,no
441,barbie-race-amp-ride,no
442,iron-man,yes
443,naruto-the-broken-bond,yes
444,skylanders-spyros-adventure,no
445,spongebob-squarepants-featuring-nicktoons-globs-of-doom,no
446,tmnt,yes
447,lost-via-domus,yes
448,middle-earth-shadow-of-mordor,yes
449,phineas-and-ferb-across-the-2nd-dimension,yes
450,terminator-3-rise-of-the-machines,yes
451,defiance,no
452,tom-clancys-hawx,no
453,go-diego-go-great-dinosaur-rescue,no
454,tenchu-2-birth-of-the-stealth-assassins,yes
455,naruto-uzumaki-chronicles-2,yes
456,transformers-the-game,yes
457,the-lego-ninjago-movie-videogame,no
458,yokai-sangokushi,no
459,tomb-raider-anniversary,yes
460,resident-evil-revelations-2,yes
461,bayonetta-2,yes
462,lego-marvel-super-heroes-2,yes
463,lego-marvel-super-heroes-universe-in-peril,no
464,spyro-orange-the-cortex-conspiracy,yes
465,ben-10-alien-force,yes
466,iron-man,yes
467,nazo-no-murasame-jou-fds,no
468,disney-universe,yes
469,dynasty-warriors-5-xtreme-legends,yes
470,spongebob-squarepants-featuring-nicktoons-globs-of-doom,no
471,resident-evil-outbreak-file-2,yes
472,bob-the-builder-can-we-fix-it,yes
473,lego-jurassic-world,yes
474,true-crime-streets-of-la,yes
475,disney-infinity-30,no
476,army-men-sarges-heroes,no
477,tom-clancys-hawx,no
478,resident-evil-2,yes
479,manhunt-2,yes
480,assassins-creed-unity,no
481,batman-begins,no
482,enslaved-odyssey-to-the-west,no
483,no-more-heroes,yes
484,metal-gear-solid-3-subsistence,yes
485,the-godfather-old-us-sales,no
486,fighting-force-2,yes
487,extermination,no
488,madagascar-escape-2-africa,yes
489,dragon-ball-xenoverse-2,yes
490,super-robot-taisen-f,no
491,spongebob-squarepants-supersponge,yes
492,disney-infinity-30,no
493,dynasty-warriors-gundam-3,yes
494,iron-man,yes
495,enslaved-odyssey-to-the-west,no
496,assassins-creed-ii,no
497,phineas-and-ferb-across-the-2nd-dimension,yes
498,action-force,no
499,gauntlet-legends,yes
500,harry-potter-and-the-deathly-hallows-part-1,yes
501,manhunt-2,yes
502,the-incredible-hulk-ultimate-destruction,yes
503,lego-the-incredibles,no
504,disney-infinity-30,no
505,g-force,no
506,peter-jacksons-king-kong-the-official-game-of-the-movie,no
507,burnout-revenge,yes
508,the-lord-of-the-rings-the-fellowship-of-the-ring,yes
509,spider-man,yes
510,how-to-train-your-dragon,yes
511,harry-potter-and-the-half-blood-prince,yes
512,spongebob-squarepants-featuring-nicktoons-globs-of-doom,no
513,oni,no
514,the-lord-of-the-rings-the-two-towers,yes
515,the-warriors,yes
516,silent-hill-origins,yes
517,metal-gear-solid-2-substance,yes
518,guinness-world-records-the-videogame,no
519,mission-impossible,yes
520,tomb-raider-legend,yes
521,way-of-the-samurai-3,yes
522,go-diego-go-safari-rescue,yes
523,metal-gear-solid-hd-collection,yes
524,one-piece-pirate-warriors-3,yes
525,way-of-the-samurai,yes
526,lair,no
527,dishonored,yes
528,iron-man,yes
529,lego-batman-3-beyond-gotham,yes
530,prince-of-persia-trilogy,no
531,dynasty-warriors,yes
532,petz-hamsterz-life-2,no
533,fire-emblem-warriors,yes
534,the-saboteur,no
535,bully-scholarship-edition,yes
536,midnight-magic,no
537,dragon-quest-heroes-the-worlds-tree-woe-and-the-blight-below,no
538,attack-on-titan,yes
539,lost-via-domus,yes
540,the-mummy-returns,yes
541,transformers-war-for-cybertron,yes
542,hitman-blood-money,yes
543,rugrats-in-paris-the-movie,no
544,metal-gear-rising-revengeance,yes
545,mad-max-2013,no
546,bakugan-battle-brawlers-defenders-of-the-core,no
547,shrek-superslam,yes
548,super-monkey-ball-3d,yes
549,spider-man-2,yes
550,tomb-raider-anniversary,yes
551,fantastic-4,no
552,steel-diver,no
553,gauntlet,yes
554,raiders-of-the-lost-ark,yes
555,dynasty-warriors-gundam-2,yes
556,ace-combat-assault-horizon,yes
557,the-matrix-path-of-neo,yes
558,power-rangers-dino-thunder,yes
559,transformers-revenge-of-the-fallen,yes
560,die-hard-trilogy-2-viva-las-vegas,no
561,hyrule-warriors-legends,yes
562,shrek-the-third,yes
563,madagascar-operation-penguin,yes
564,lego-marvels-avengers,yes
565,lollipop-chainsaw,no
566,transformers-revenge-of-the-fallen,yes
567,a-way-out,no
568,the-saboteur,no
569,crash-of-the-titans,yes
570,friday-the-13th-the-game,yes
571,thief,yes
572,go-diego-go-great-dinosaur-rescue,no
573,double-dragon,yes
574,dynasty-warriors-gundam,yes
575,the-godfather-jp-sales,no
576,james-bond-007-blood-stone,yes
577,gauntlet-legends,yes
578,dragon-ball-xenoverse-2,yes
579,commando,yes
580,flingsmash,no
581,deadpool,yes
582,dragon-quest-heroes-ii-twin-kings-and-the-prophecys-end,no
583,hamsterz-life,yes
584,spider-man-friend-or-foe,yes
585,deadpool,yes
586,kong-the-8th-wonder-of-the-world,yes
587,metal-gear-solid-the-twin-snakes,yes
588,circus-atari,no
589,disney-infinity-30,no
590,rygar-the-legendary-adventure,yes
591,tomb-raider-legend,yes
592,nickelodeon-team-umizoomi,no
593,brothers-in-arms-earned-in-blood,yes
594,gremlins,yes
595,the-mark-of-kri,no
596,rugrats-castle-capers,yes
597,mass-effect-trilogy,no
598,hyrule-warriors-definitive-edition,yes
599,enter-the-matrix,yes
600,scooby-doo-and-the-spooky-swamp,yes
